,contig,eveSites,eveTEoverlap,length,piEVEReads,piEVEoverlap,piReads,piSites,teSites,teProp,eveTEProp,pi/eveProp,eve/piProp,piReads/EVEProp
1997,001997F,0,0,444960,0,0,51,28,192349,0.43228380079108236,,,0.0,0.0
2766,002766F,0,0,31931,0,0,0,0,15729,0.49259340452851463,,,,
3463,003463F,0,0,30580,0,0,0,0,19450,0.6360366252452584,,,,
1661,001661F,0,0,24385,0,0,23,1,15054,0.6173467295468525,,,0.0,0.0
3020,003020F,0,0,33884,0,0,4,3,18006,0.5314012513280605,,,0.0,0.0
2767,002767F,0,0,32007,0,0,0,0,15722,0.4912050488955541,,,,
3633,003633F,0,0,17704,0,0,1,1,11916,0.6730682331676457,,,0.0,0.0
143,000143F,0,0,2966877,0,0,8430,1037,1700454,0.5731461061580915,,,0.0,0.0
3480,003480F,0,0,29717,0,0,5,4,12879,0.4333882962613992,,,0.0,0.0
1556,001556F,0,0,28111,0,0,1,1,18157,0.6459037387499555,,,0.0,0.0
1976,001976F,0,0,482339,0,0,110,38,246147,0.5103195055759538,,,0.0,0.0
710,000710F,0,0,1457080,0,0,267,91,789842,0.5420718148626019,,,0.0,0.0
2424,002424F,0,0,28329,0,0,0,0,10682,0.37706943414875216,,,,
3631,003631F,0,0,17983,0,0,1,1,10010,0.5566368236667965,,,0.0,0.0
2223,002223F,0,0,364025,0,0,175,81,179668,0.4935595082755305,,,0.0,0.0
1365,001365F,0,0,535,0,0,0,0,170,0.3177570093457944,,,,
2674,002674F,0,0,195586,0,0,19,12,65821,0.33653226713568457,,,0.0,0.0
78,000078F,0,0,3339199,0,0,3895,825,1663557,0.498190434292775,,,0.0,0.0
923,000923F,0,0,175652,0,0,21,8,98079,0.5583710973971261,,,0.0,0.0
3342,003342F,0,0,40631,0,0,11,8,10602,0.2609337697816938,,,0.0,0.0
2357,002357F,0,0,27233,0,0,0,0,15907,0.5841075166158705,,,,
1060,001060F,0,0,11490,0,0,0,0,6211,0.5405570060922541,,,,
2252,002252F,0,0,359594,0,0,1399,258,251398,0.6991162255210043,,,0.0,0.0
1579,001579F,0,0,37913,0,0,12,9,13267,0.3499327407485559,,,0.0,0.0
3517,003517F,0,0,27608,0,0,0,0,11882,0.4303824978267169,,,,
1699,001699F,0,0,332715,0,0,38,24,191879,0.5767067910974858,,,0.0,0.0
423,000423F,0,0,24862,0,0,8,1,11516,0.46319684659319443,,,0.0,0.0
3508,003508F,0,0,27961,0,0,0,0,19382,0.693179786130682,,,,
3046,003046F,0,0,14629,0,0,0,0,7104,0.48561077312188117,,,,
1655,001655F,0,0,22687,0,0,1,1,8981,0.39586547361925334,,,0.0,0.0
213,000213F,0,0,37014,0,0,0,0,18964,0.5123466796347328,,,,
3234,003234F,0,0,20842,0,0,1,1,6790,0.32578447365895785,,,0.0,0.0
3545,003545F,0,0,26455,0,0,0,0,9554,0.36114156114156115,,,,
1427,001427F,0,0,820886,0,0,965,161,406955,0.49575093252899916,,,0.0,0.0
742,000742F,0,0,1420115,0,0,7974,376,857960,0.6041482555990184,,,0.0,0.0
675,000675F,0,0,1529911,0,0,4407,684,898135,0.5870504885578312,,,0.0,0.0
639,000639F,0,0,13360,0,0,0,0,7355,0.5505239520958084,,,,
371,000371F,0,0,257052,0,0,37,15,160356,0.6238270855702348,,,0.0,0.0
2492,002492F,0,0,252289,0,0,78,35,142950,0.5666120996159166,,,0.0,0.0
1405,001405F,1962,1554,496931,29,25,940,274,266148,0.5355834109765742,0.7920489296636085,0.0127420998980632,0.09124087591240876,0.030851063829787233
1578,001578F,0,0,225408,0,0,149,41,121542,0.5392089011925043,,,0.0,0.0
3038,003038F,0,0,96288,0,0,44,4,47812,0.4965520106347624,,,0.0,0.0
1650,001650F,0,0,656735,0,0,200,50,341607,0.5201595773028695,,,0.0,0.0
1907,001907F,0,0,519573,0,0,888,107,292590,0.5631354978030036,,,0.0,0.0
2676,002676F,0,0,187163,0,0,5,4,94262,0.5036358682004456,,,0.0,0.0
612,000612F,0,0,438576,0,0,75,34,226291,0.5159675860056182,,,0.0,0.0
1887,001887F,0,0,27638,0,0,1,1,21332,0.7718358781387944,,,0.0,0.0
3014,003014F,0,0,106149,0,0,1,1,52696,0.4964342575059586,,,0.0,0.0
1367,001367F,0,0,23811,0,0,1,1,14145,0.5940531687035404,,,0.0,0.0
3226,003226F,0,0,60188,0,0,268,126,26998,0.44856117498504683,,,0.0,0.0
2503,002503F,0,0,261355,0,0,1009,172,154130,0.5897342694802089,,,0.0,0.0
3184,003184F,0,0,5718,0,0,0,0,3102,0.5424973767051416,,,,
243,000243F,2097,1260,2484547,5,1,61586,2048,1449571,0.5834347267328813,0.6008583690987125,0.0004768717215069146,0.00048828125,8.118728282401844e-05
3191,003191F,0,0,66646,0,0,6,2,32245,0.48382498574558114,,,0.0,0.0
269,000269F,0,0,2287764,0,0,14511,921,1270585,0.5553828978863204,,,0.0,0.0
773,000773F,0,0,1401300,0,0,16138,3076,768077,0.5481174623563834,,,0.0,0.0
3186,003186F,0,0,68605,0,0,26,7,44288,0.6455506158443263,,,0.0,0.0
2590,002590F,0,0,68205,0,0,13,3,41583,0.6096767099186277,,,0.0,0.0
3037,003037F,0,0,17657,0,0,0,0,9067,0.5135073908364954,,,,
3263,003263F,0,0,52501,0,0,0,0,25110,0.47827660425515706,,,,
321,000321F,0,0,2164321,0,0,9606,677,1235333,0.5707716184429205,,,0.0,0.0
2579,002579F,0,0,232324,0,0,75,25,134763,0.5800649093507343,,,0.0,0.0
1154,001154F,0,0,1012256,0,0,3961,552,555575,0.5488483150507382,,,0.0,0.0
1028,001028F,0,0,25431,0,0,1,1,13932,0.5478353190987377,,,0.0,0.0
1024,001024F,0,0,8068,0,0,2,1,6719,0.832796232027764,,,0.0,0.0
413,000413F,1892,383,1979106,6,5,2512,597,1012089,0.5113869595665922,0.20243128964059195,0.002642706131078224,0.008375209380234505,0.0023885350318471337
663,000663F,0,0,29475,0,0,0,0,18001,0.6107209499575912,,,,
3646,003646F,0,0,15618,0,0,0,0,537,0.03438340376488667,,,,
1428,001428F,0,0,204580,0,0,46,14,118444,0.5789617753446085,,,0.0,0.0
917,000917F,0,0,1221258,0,0,32428,515,654601,0.536005495972186,,,0.0,0.0
2000,002000F,0,0,469853,0,0,806,154,262022,0.5576680365986809,,,0.0,0.0
2432,002432F,0,0,26051,0,0,0,0,13605,0.5222448274538406,,,,
3233,003233F,0,0,58496,0,0,2,2,32413,0.5541062636761488,,,0.0,0.0
1276,001276F,0,0,902734,0,0,936,84,521607,0.5778080807857021,,,0.0,0.0
774,000774F,0,0,769091,0,0,157,92,378986,0.49277133655185146,,,0.0,0.0
2011,002011F,0,0,454543,0,0,154,71,246802,0.5429673320235929,,,0.0,0.0
2017,002017F,0,0,319152,0,0,50,36,170602,0.5345478016744373,,,0.0,0.0
3076,003076F,0,0,23440,0,0,9090,309,17483,0.7458617747440273,,,0.0,0.0
2580,002580F,0,0,101452,0,0,8,8,91284,0.8997752631786461,,,0.0,0.0
1048,001048F,0,0,65603,0,0,17,12,30835,0.4700242366964925,,,0.0,0.0
3403,003403F,0,0,34678,0,0,16,13,11626,0.33525578176365417,,,0.0,0.0
137,000137F,0,0,1570657,0,0,737,201,848250,0.5400606243119918,,,0.0,0.0
2648,002648F,0,0,219112,0,0,6,5,114959,0.5246586220745555,,,0.0,0.0
412,000412F,0,0,1968921,0,0,863,214,1001238,0.5085211646378905,,,0.0,0.0
387,000387F,0,0,364782,0,0,206,61,181254,0.4968830698883169,,,0.0,0.0
2543,002543F,0,0,247375,0,0,86,28,126110,0.5097928246589186,,,0.0,0.0
1114,001114F,0,0,18729,0,0,0,0,11856,0.6330289924715682,,,,
2883,002883F,0,0,2046,0,0,0,0,1209,0.5909090909090909,,,,
1841,001841F,0,0,28085,0,0,0,0,15530,0.5529642157735446,,,,
864,000864F,0,0,90880,0,0,9,4,57847,0.6365206866197183,,,0.0,0.0
1037,001037F,0,0,1174529,0,0,4619,151,594735,0.5063604219223194,,,0.0,0.0
2920,002920F,0,0,132808,0,0,22,19,74358,0.5598909704234685,,,0.0,0.0
1597,001597F,0,0,658102,0,0,1537,340,398652,0.6057602013061805,,,0.0,0.0
276,000276F,0,0,2316995,0,0,8540,1552,1421812,0.6136448287544859,,,0.0,0.0
223,000223F,0,0,162511,0,0,27,16,90558,0.5572422789841919,,,0.0,0.0
736,000736F,0,0,1446285,0,0,2236,264,697441,0.4822292978216603,,,0.0,0.0
1101,001101F,0,0,21039,0,0,0,0,9050,0.43015352440705357,,,,
1259,001259F,0,0,103131,0,0,4,3,56578,0.5486032327816078,,,0.0,0.0
2996,002996F,0,0,5454,0,0,0,0,3403,0.6239457279061239,,,,
434,000434F,486,382,1918226,2956,118,11780,2732,1076504,0.5611976899489424,0.7860082304526749,0.24279835390946503,0.04319180087847731,0.25093378607809846
551,000551F,1109,914,1687972,0,0,8589,1042,875011,0.518380044218743,0.824165915238954,0.0,0.0,0.0
1376,001376F,0,0,853862,0,0,309,117,495503,0.5803080591477311,,,0.0,0.0
1827,001827F,0,0,568866,0,0,244,116,309822,0.5446308972587569,,,0.0,0.0
965,000965F,0,0,651133,0,0,370,128,353316,0.5426172533107675,,,0.0,0.0
534,000534F,0,0,1827369,0,0,1838,533,942067,0.515531893120656,,,0.0,0.0
1544,001544F,0,0,214630,0,0,195,38,118471,0.5519778222988398,,,0.0,0.0
2337,002337F,0,0,157131,0,0,9,7,74825,0.4761950219880227,,,0.0,0.0
2558,002558F,0,0,30407,0,0,0,0,10065,0.3310093070674516,,,,
3426,003426F,0,0,33411,0,0,2,1,16897,0.505731645266529,,,0.0,0.0
1677,001677F,0,0,312662,0,0,31,18,198304,0.6342440079063014,,,0.0,0.0
336,000336F,0,0,2124232,0,0,1930,432,1169707,0.5506493640995899,,,0.0,0.0
1557,001557F,0,0,718121,0,0,263,121,380307,0.529586239644851,,,0.0,0.0
2541,002541F,0,0,244928,0,0,133,46,159559,0.6514526718055919,,,0.0,0.0
1406,001406F,0,0,351681,0,0,259,115,197437,0.5614093454010879,,,0.0,0.0
1148,001148F,1861,1631,1024961,0,0,3558,706,598694,0.5841139321398571,0.876410531972058,0.0,0.0,0.0
1662,001662F,0,0,91471,0,0,9,3,59392,0.6492986848290715,,,0.0,0.0
2860,002860F,0,0,145199,0,0,309,84,79969,0.5507544817801775,,,0.0,0.0
1575,001575F,0,0,690033,0,0,154,41,400623,0.5805852763563482,,,0.0,0.0
2598,002598F,0,0,25152,0,0,23,7,18860,0.7498409669211196,,,0.0,0.0
2789,002789F,0,0,162629,0,0,35,24,82032,0.5044118822596216,,,0.0,0.0
1094,001094F,0,0,151193,0,0,41,8,92471,0.6116090030623111,,,0.0,0.0
1312,001312F,0,0,25588,0,0,1,1,15233,0.5953181178677505,,,0.0,0.0
1215,001215F,0,0,1095936,0,0,372,204,661426,0.6035261183134781,,,0.0,0.0
1704,001704F,0,0,35420,0,0,0,0,22372,0.6316205533596838,,,,
2086,002086F,0,0,431954,0,0,30,14,224575,0.519904897280729,,,0.0,0.0
257,000257F,0,0,2371709,0,0,2167,441,1299266,0.5478184718276989,,,0.0,0.0
937,000937F,0,0,1196635,0,0,4183,471,617743,0.5162334379322016,,,0.0,0.0
2279,002279F,0,0,22680,0,0,9,6,6042,0.2664021164021164,,,0.0,0.0
1890,001890F,0,0,26664,0,0,0,0,7312,0.27422742274227424,,,,
2762,002762F,0,0,26236,0,0,3,3,14643,0.5581262387559079,,,0.0,0.0
2112,002112F,0,0,424521,0,0,151,93,219766,0.5176799263169549,,,0.0,0.0
2073,002073F,0,0,437720,0,0,78,29,265732,0.6070821529745043,,,0.0,0.0
414,000414F,0,0,24346,0,0,1,1,14247,0.5851885319970427,,,0.0,0.0
2690,002690F,0,0,26250,0,0,4,2,16441,0.6263238095238095,,,0.0,0.0
439,000439F,0,0,199895,0,0,2881,433,117199,0.5863028089747118,,,0.0,0.0
2756,002756F,0,0,177016,0,0,11,10,98280,0.555204049351471,,,0.0,0.0
3393,003393F,0,0,35252,0,0,4,3,17931,0.5086519913763758,,,0.0,0.0
1085,001085F,0,0,97889,0,0,14,8,40996,0.4188008867186303,,,0.0,0.0
1467,001467F,0,0,27346,0,0,236,83,15358,0.5616177868792511,,,0.0,0.0
2187,002187F,0,0,22642,0,0,118,33,6872,0.3035067573535907,,,0.0,0.0
2919,002919F,0,0,126902,0,0,10,7,74179,0.5845376747411388,,,0.0,0.0
1688,001688F,0,0,26712,0,0,1,1,16908,0.632973944294699,,,0.0,0.0
3061,003061F,0,0,22041,0,0,2,2,18738,0.8501429154757044,,,0.0,0.0
3241,003241F,0,0,26099,0,0,2,2,9217,0.35315529330625695,,,0.0,0.0
3294,003294F,0,0,26149,0,0,0,0,19114,0.7309648552525909,,,,
2163,002163F,0,0,394731,0,0,579,174,214464,0.5433168410892482,,,0.0,0.0
3429,003429F,0,0,33197,0,0,9,3,12246,0.3688887550079826,,,0.0,0.0
79,000079F,0,0,3310812,0,0,3157,691,1707599,0.5157644106642116,,,0.0,0.0
3084,003084F,0,0,16629,0,0,0,0,11183,0.6724998496602321,,,,
1859,001859F,0,0,550188,0,0,62,25,284392,0.5168996779282717,,,0.0,0.0
2294,002294F,0,0,331911,0,0,88,46,170072,0.5124024211309658,,,0.0,0.0
867,000867F,0,0,30112,0,0,0,0,18036,0.5989638682252922,,,,
247,000247F,0,0,2461083,0,0,3355,698,1391582,0.5654348106098006,,,0.0,0.0
2462,002462F,0,0,274613,0,0,421,141,143522,0.5226336699282262,,,0.0,0.0
991,000991F,0,0,13335,0,0,12,1,5958,0.4467941507311586,,,0.0,0.0
1693,001693F,0,0,204635,0,0,370,121,113819,0.5562049502773231,,,0.0,0.0
2048,002048F,0,0,445467,0,0,30,17,242626,0.5446553841249745,,,0.0,0.0
1819,001819F,0,0,575161,0,0,855,56,282827,0.49173535757813897,,,0.0,0.0
1057,001057F,0,0,35641,0,0,2,1,15424,0.4327600235683623,,,0.0,0.0
3486,003486F,0,0,29290,0,0,0,0,11192,0.3821099351314442,,,,
1031,001031F,0,0,164563,0,0,3796,256,103706,0.6301902614804057,,,0.0,0.0
3197,003197F,0,0,66406,0,0,0,0,8009,0.12060657169532873,,,,
3396,003396F,0,0,35089,0,0,72,19,24630,0.7019293795776455,,,0.0,0.0
1065,001065F,0,0,32662,0,0,85,44,20667,0.6327536586859347,,,0.0,0.0
2511,002511F,0,0,249939,0,0,254,105,145486,0.5820860289910739,,,0.0,0.0
2964,002964F,0,0,25239,0,0,25,6,14161,0.5610761123657831,,,0.0,0.0
3249,003249F,0,0,55148,0,0,6,6,24422,0.44284470878363674,,,0.0,0.0
3722,003722F,0,0,2588,0,0,0,0,1535,0.5931221020092736,,,,
3437,003437F,0,0,32435,0,0,0,0,16670,0.5139509788808386,,,,
2160,002160F,0,0,14979,0,0,0,0,7202,0.48080646238066627,,,,
2718,002718F,0,0,182926,0,0,7,3,87320,0.4773514973267879,,,0.0,0.0
376,000376F,0,0,468125,0,0,581,308,265181,0.5664747663551402,,,0.0,0.0
619,000619F,0,0,23105,0,0,0,0,13284,0.5749404890716295,,,,
1669,001669F,0,0,649916,0,0,1150,165,377936,0.5815151496501086,,,0.0,0.0
2971,002971F,0,0,27462,0,0,0,0,18113,0.6595659456703808,,,,
64,000064F,0,0,24889,0,0,0,0,13874,0.5574350114508417,,,,
178,000178F,0,0,151311,0,0,6,4,83176,0.549702268837031,,,0.0,0.0
3445,003445F,0,0,31631,0,0,23,3,17558,0.5550883626821789,,,0.0,0.0
1274,001274F,0,0,927109,0,0,1466,245,520909,0.5618638153658307,,,0.0,0.0
823,000823F,0,0,1327280,0,0,821,241,720297,0.5426865469230305,,,0.0,0.0
1928,001928F,0,0,32425,0,0,0,0,16296,0.5025751734772552,,,,
3580,003580F,0,0,24020,0,0,1,1,12955,0.5393422148209825,,,0.0,0.0
1301,001301F,0,0,160510,0,0,377,69,97984,0.610454177309825,,,0.0,0.0
2617,002617F,0,0,28206,0,0,0,0,20054,0.7109834786924768,,,,
2019,002019F,0,0,234981,0,0,417,155,121046,0.5151310105923458,,,0.0,0.0
2872,002872F,0,0,135430,0,0,712,126,73595,0.5434172635309754,,,0.0,0.0
1310,001310F,0,0,23720,0,0,829,111,16023,0.6755059021922428,,,0.0,0.0
878,000878F,0,0,1266450,0,0,514,204,661107,0.5220158711358522,,,0.0,0.0
3399,003399F,0,0,34975,0,0,0,0,24437,0.6986990707648321,,,,
682,000682F,0,0,1492171,0,0,479,289,789119,0.5288395230841505,,,0.0,0.0
95,000095F,0,0,3219054,0,0,3522,679,1806252,0.5611126747174792,,,0.0,0.0
365,000365F,0,0,2075331,0,0,2328,511,1137104,0.5479145254419656,,,0.0,0.0
72,000072F,0,0,710747,0,0,1214,95,377917,0.5317180375013894,,,0.0,0.0
93,000093F,0,0,3244993,0,0,2820,591,1783050,0.5494773024163688,,,0.0,0.0
993,000993F,1344,1317,1152481,0,0,1983,423,689055,0.5978883816739712,0.9799107142857143,0.0,0.0,0.0
1336,001336F,0,0,25302,0,0,2,1,16834,0.6653228993755435,,,0.0,0.0
1893,001893F,0,0,270377,0,0,360,98,148010,0.5474208235167932,,,0.0,0.0
1748,001748F,0,0,32029,0,0,8,5,17499,0.5463486215617097,,,0.0,0.0
1592,001592F,0,0,149400,0,0,5,3,88945,0.5953480589022758,,,0.0,0.0
2704,002704F,0,0,82982,0,0,15,13,30066,0.36231953917717097,,,0.0,0.0
2345,002345F,0,0,105035,0,0,14,7,58865,0.5604322368734231,,,0.0,0.0
322,000322F,1125,730,2190627,0,0,640,177,1179487,0.5384243871731701,0.6488888888888888,0.0,0.0,0.0
94,000094F,0,0,25398,0,0,3,2,13390,0.5272068666824159,,,0.0,0.0
1794,001794F,0,0,437729,0,0,30,15,210411,0.480687822831021,,,0.0,0.0
2652,002652F,0,0,26924,0,0,3,2,16836,0.6253157034615956,,,0.0,0.0
701,000701F,0,0,382123,0,0,55,15,219751,0.5750792284159812,,,0.0,0.0
858,000858F,0,0,395531,0,0,321,105,191486,0.48412387398206463,,,0.0,0.0
1674,001674F,0,0,647272,0,0,5116,291,306137,0.47296499771348055,,,0.0,0.0
822,000822F,0,0,1329835,0,0,660,151,760117,0.5715874525787034,,,0.0,0.0
3182,003182F,0,0,70013,0,0,10,5,36955,0.5278305457557882,,,0.0,0.0
1830,001830F,0,0,317241,0,0,0,0,182828,0.5763063412358428,,,,
2138,002138F,0,0,15553,0,0,5,3,7219,0.46415482543560727,,,0.0,0.0
65,000065F,0,0,26710,0,0,241,37,19419,0.7270310745039311,,,0.0,0.0
3365,003365F,0,0,37626,0,0,3,3,16219,0.4310583107425716,,,0.0,0.0
1559,001559F,0,0,32289,0,0,2,1,20162,0.6244231781721329,,,0.0,0.0
2297,002297F,0,0,20341,0,0,1,1,14125,0.6944103043114891,,,0.0,0.0
794,000794F,0,0,557025,0,0,439,131,289951,0.5205349849647682,,,0.0,0.0
152,000152F,0,0,88071,0,0,47,20,48687,0.5528153421671151,,,0.0,0.0
2266,002266F,0,0,346758,0,0,39,23,210994,0.6084762283782926,,,0.0,0.0
3592,003592F,0,0,22710,0,0,62,29,16168,0.7119330691325407,,,0.0,0.0
988,000988F,0,0,1141425,0,0,149,79,654943,0.5737941608077622,,,0.0,0.0
1489,001489F,0,0,774900,0,0,508,103,421663,0.5441515034197961,,,0.0,0.0
3258,003258F,0,0,53787,0,0,15,3,28496,0.5297934445126146,,,0.0,0.0
547,000547F,0,0,1559191,0,0,904,304,795889,0.5104499705295887,,,0.0,0.0
2063,002063F,0,0,436742,0,0,22,14,221017,0.5060584967784184,,,0.0,0.0
1328,001328F,0,0,253583,0,0,277,72,145898,0.5753461391339325,,,0.0,0.0
992,000992F,0,0,1170224,0,0,2157,510,611990,0.5229682522320513,,,0.0,0.0
1492,001492F,0,0,766921,0,0,578,144,374386,0.48816762091532245,,,0.0,0.0
3168,003168F,0,0,23028,0,0,0,0,7559,0.3282525620983151,,,,
2149,002149F,0,0,402451,0,0,2638,327,244901,0.608523770595675,,,0.0,0.0
2771,002771F,0,0,171576,0,0,28,13,99157,0.5779188231454283,,,0.0,0.0
1117,001117F,0,0,1049913,0,0,4069,287,548380,0.5223099437762938,,,0.0,0.0
2966,002966F,0,0,21941,0,0,0,0,14070,0.6412652112483478,,,,
3066,003066F,0,0,91820,0,0,9,7,39937,0.43494881289479415,,,0.0,0.0
62,000062F,0,0,3561918,0,0,7907,1090,2003192,0.5623913857646358,,,0.0,0.0
2430,002430F,0,0,285732,0,0,107,36,166749,0.583585317710302,,,0.0,0.0
1868,001868F,0,0,113811,0,0,3,2,69436,0.6100991995501314,,,0.0,0.0
3100,003100F,0,0,89240,0,0,0,0,3034,0.033998207082026,,,,
2950,002950F,0,0,36944,0,0,872,69,24108,0.652555218709398,,,0.0,0.0
232,000232F,0,0,2561081,0,0,829,299,1366515,0.533569613768561,,,0.0,0.0
1086,001086F,0,0,1056010,0,0,579,25,580859,0.5500506623990303,,,0.0,0.0
1608,001608F,0,0,616137,0,0,374,114,342733,0.5562610263626434,,,0.0,0.0
2865,002865F,756,0,75845,23,10,160,100,43354,0.5716131584151889,0.0,0.013227513227513227,0.1,0.14375
3420,003420F,0,0,33914,0,0,4,1,19658,0.57964262546441,,,0.0,0.0
3581,003581F,0,0,15920,0,0,7,3,7973,0.5008165829145729,,,0.0,0.0
2637,002637F,0,0,24577,0,0,0,0,12543,0.5103552101558367,,,,
2482,002482F,0,0,53116,0,0,2,1,25019,0.47102567964455155,,,0.0,0.0
1257,001257F,0,0,931473,0,0,1121,246,532347,0.5715109294633339,,,0.0,0.0
2539,002539F,0,0,249103,0,0,12,10,150291,0.6033287435317921,,,0.0,0.0
530,000530F,0,0,889661,0,0,7394,415,552665,0.6212085277425896,,,0.0,0.0
3253,003253F,0,0,54200,0,0,0,0,911,0.016808118081180812,,,,
3199,003199F,0,0,65534,0,0,3,3,44624,0.6809289834284493,,,0.0,0.0
1528,001528F,0,0,230859,0,0,29,16,140995,0.6107407551795685,,,0.0,0.0
1261,001261F,0,0,29107,0,0,9,4,17023,0.5848421341945237,,,0.0,0.0
1998,001998F,0,0,26572,0,0,0,0,9632,0.3624868282402529,,,,
2835,002835F,0,0,152116,0,0,51,30,80978,0.5323437376738804,,,0.0,0.0
1253,001253F,0,0,98123,0,0,25,15,47263,0.4816709639941706,,,0.0,0.0
1854,001854F,0,0,149154,0,0,62,33,76860,0.5153063276881612,,,0.0,0.0
1567,001567F,0,0,303019,0,0,8,5,172763,0.5701391661908989,,,0.0,0.0
1572,001572F,0,0,717666,0,0,1805,194,388639,0.5415318546510494,,,0.0,0.0
749,000749F,0,0,1372506,0,0,307,154,745416,0.5431058224882077,,,0.0,0.0
751,000751F,0,0,9531,0,0,1,1,7849,0.8235232399538348,,,0.0,0.0
1765,001765F,0,0,582660,0,0,102,69,311393,0.5344334603370748,,,0.0,0.0
2368,002368F,0,0,303747,0,0,9,8,178828,0.5887399710943647,,,0.0,0.0
2056,002056F,0,0,444914,0,0,60,15,265076,0.5957915462314065,,,0.0,0.0
188,000188F,0,0,2732757,0,0,1750,468,1420715,0.5198833998046661,,,0.0,0.0
1652,001652F,0,0,662937,0,0,173,65,381604,0.5756263415679016,,,0.0,0.0
2507,002507F,0,0,250846,0,0,23,12,135084,0.5385136697415944,,,0.0,0.0
2250,002250F,0,0,283297,0,0,12,6,159897,0.5644147308301888,,,0.0,0.0
3270,003270F,0,0,19395,0,0,1,1,11009,0.5676205207527714,,,0.0,0.0
207,000207F,0,0,2677015,0,0,3687,738,1535295,0.5735100475716423,,,0.0,0.0
2917,002917F,0,0,131756,0,0,4,3,73394,0.5570448404626734,,,0.0,0.0
1382,001382F,0,0,83332,0,0,7,6,52276,0.6273220371525945,,,0.0,0.0
368,000368F,0,0,2080380,0,0,5168,667,1111440,0.5342485507455369,,,0.0,0.0
2478,002478F,0,0,26034,0,0,1,1,14981,0.5754398094799109,,,0.0,0.0
2087,002087F,0,0,39293,0,0,0,0,22526,0.5732827730130049,,,,
1641,001641F,0,0,666099,0,0,1338,72,393349,0.5905263331726965,,,0.0,0.0
338,000338F,0,0,30036,0,0,3,2,16887,0.5622253296044746,,,0.0,0.0
843,000843F,0,0,1287930,0,0,1437,295,659050,0.5117125930757106,,,0.0,0.0
3520,003520F,0,0,27533,0,0,40,14,6356,0.2308502524243635,,,0.0,0.0
2533,002533F,0,0,28920,0,0,0,0,17347,0.5998271092669433,,,,
1361,001361F,0,0,31335,0,0,1,1,22298,0.7116004467847455,,,0.0,0.0
233,000233F,0,0,2511662,0,0,3395,787,1398479,0.556794266107462,,,0.0,0.0
637,000637F,0,0,1526244,0,0,3498,849,811102,0.5314366510204135,,,0.0,0.0
2276,002276F,0,0,32112,0,0,1,1,17967,0.5595104633781763,,,0.0,0.0
874,000874F,0,0,1275476,0,0,1064,420,736494,0.5774267802765399,,,0.0,0.0
2162,002162F,0,0,130744,0,0,6,5,50442,0.38580737930612496,,,0.0,0.0
1293,001293F,0,0,904113,0,0,779,191,541592,0.5990313157757935,,,0.0,0.0
1278,001278F,0,0,888786,0,0,65,45,461100,0.518797550816507,,,0.0,0.0
3086,003086F,0,0,51934,0,0,5,4,26970,0.5193129741595102,,,0.0,0.0
1102,001102F,0,0,1075050,0,0,455,98,575129,0.5349788381935724,,,0.0,0.0
2118,002118F,0,0,119923,0,0,12,8,71171,0.5934724781734947,,,0.0,0.0
3705,003705F,0,0,6300,0,0,0,0,3626,0.5755555555555556,,,,
1491,001491F,0,0,190914,0,0,18,3,89372,0.4681270100673602,,,0.0,0.0
560,000560F,1317,0,1623488,117,44,642,233,774149,0.4768430687507392,0.0,0.033409263477600606,0.1888412017167382,0.1822429906542056
2274,002274F,0,0,120991,0,0,59,9,59121,0.48863965088312356,,,0.0,0.0
2148,002148F,0,0,22084,0,0,0,0,4565,0.20671074080782467,,,,
212,000212F,5984,1740,575480,33314,1018,87658,8492,329428,0.5724403975811496,0.2907754010695187,0.170120320855615,0.11987753179463025,0.3800451755686874
2621,002621F,0,0,220507,0,0,19,14,105702,0.4793589319159936,,,0.0,0.0
3208,003208F,0,0,24166,0,0,1,1,14705,0.6084995448150293,,,0.0,0.0
3149,003149F,0,0,75622,0,0,2,2,39688,0.5248208193382878,,,0.0,0.0
3178,003178F,0,0,70570,0,0,1,1,8593,0.12176562278588636,,,0.0,0.0
1570,001570F,0,0,718917,0,0,118,84,397634,0.5531014011353188,,,0.0,0.0
33,000033F,0,0,4042007,0,0,2274,647,2337212,0.5782305671415215,,,0.0,0.0
385,000385F,0,0,2035191,0,0,753,347,1087019,0.5341115403910492,,,0.0,0.0
628,000628F,1892,169,1645759,29,13,1460,335,924681,0.5618568696874816,0.08932346723044397,0.006871035940803382,0.03880597014925373,0.01986301369863014
2593,002593F,0,0,20307,0,0,3,2,12486,0.6148618702910327,,,0.0,0.0
3203,003203F,0,0,28928,0,0,1,1,16502,0.5704507743362832,,,0.0,0.0
3505,003505F,0,0,3772,0,0,0,0,2220,0.5885471898197243,,,,
1856,001856F,0,0,554168,0,0,138,48,277011,0.4998682709936337,,,0.0,0.0
3025,003025F,0,0,26558,0,0,97,23,11693,0.44028164771443634,,,0.0,0.0
2943,002943F,0,0,127482,0,0,27,23,65152,0.5110682292402065,,,0.0,0.0
3513,003513F,0,0,27740,0,0,0,0,16360,0.5897620764239365,,,,
320,000320F,0,0,27869,0,0,0,0,16752,0.6010979941870896,,,,
3104,003104F,0,0,58619,0,0,2,1,37640,0.6421126255992085,,,0.0,0.0
2699,002699F,0,0,194123,0,0,6,5,97524,0.502382510058056,,,0.0,0.0
531,000531F,0,0,1694949,0,0,249,92,929343,0.5483014533180645,,,0.0,0.0
